0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
3,0
4,0
8,0
9,0
10,0
11,0
12,0
14,0
15,0
16,0
19,0
20,-1
21,-1
22,-1
22,-1
23,-1
23,-1
24,-1
25,-1
26,-1
26,-1
27,-1
28,-1
29,-1
30,-1
31,-1
31,-1
32,-1
33,-1
33,-1
34,-1
36,-1
37,-1
37,-1
38,-1
40,-1
42,-1
44,-1
46,-1
48,-1
49,-1
50,-1
51,-1
52,-1
52,-1
53,-1
54,-2
55,-2
56,-2
57,-3
57,-3
58,-3
58,-3
59,-3
59,-4
60,-4
61,-4
61,-4
62,-5
63,-5
64,-5
64,-6
65,-6
66,-6
67,-7
67,-7
68,-7
68,-8
69,-8
69,-8
70,-9
70,-9
71,-10
71,-10
72,-10
72,-11
72,-11
73,-12
73,-12
74,-13
74,-13
74,-14
75,-14
76,-15
76,-16
77,-17
77,-17
78,-18
79,-19
80,-20
81,-21
82,-21
82,-21
83,-22
84,-22
84,-22
85,-23
85,-23
86,-23
86,-23
87,-23
87,-23
87,-24
88,-24
89,-24
90,-24
91,-24
91,-24
92,-25
93,-25
93,-25
94,-25
94,-25
95,-26
96,-26
97,-26
98,-27
99,-27
99,-27
100,-27
100,-27
101,-27
102,-27
102,-27
103,-27
104,-27
104,-27
105,-27
106,-27
106,-27
107,-27
108,-27
108,-27
109,-27
110,-26
112,-26
113,-25
114,-25
115,-24
116,-24
116,-23
119,-21
120,-20
121,-19
121,-18
122,-17
123,-16
124,-16
125,-15
126,-14
127,-13
129,-12
129,-12
130,-11
131,-11
131,-10
132,-9
132,-9
133,-8
133,-8
133,-8
134,-7
134,-6
134,-6
135,-5
135,-5
135,-5
135,-4
136,-3
136,-2
136,-1
137,-1
137,0
137,0
138,0
138,0
138,1
138,1
139,2
139,2
139,2
139,3
140,3
140,4
141,4
141,4
142,5
143,6
143,6
145,7
146,8
147,9
147,10
148,11
149,12
150,13
151,13
151,14
151,14
152,15
152,16
153,17
153,17
154,18
154,18
154,19
154,19
155,19
155,20
155,20
156,20
156,20
156,21
157,21
157,21
157,22
158,22
158,22
159,23
159,23
160,23
160,23
160,24
161,24
161,24
162,24
162,25
163,25
163,25
163,25
164,25
164,25
165,25
165,26
166,26
