1444401023 0 0 0 0 1
1445009881 1 0 0 0 1
1445421744 2 0 0 0 1
1445504048 3 0 0 0 1
1445547057 4 0 0 0 1
1445848055 5 0 0 0 1
1446732717 6 0 0 0 1
1446824776 6 0 1 0 1
1447625666 7 0 1 0 1
1448019342 8 0 1 0 1
1448216588 8 1 1 0 1
1448549372 9 1 1 0 1
1448553043 9 2 1 0 1
1448555735 10 2 1 0 1
1448555984 11 2 1 0 1
1448557693 12 2 1 0 1
1449153575 13 2 1 0 1
1449153968 13 3 1 0 1
1449154315 13 4 1 0 1
1449158452 14 4 1 0 1
1449242110 15 4 1 0 1
1449243448 15 4 2 0 1
1449759246 16 4 2 0 1
1452858412 17 4 2 0 1
1452867505 17 4 3 0 1
1453128906 18 4 3 0 1
1453150546 19 4 3 0 1
1453373365 19 5 3 0 1
1453373901 20 5 3 0 1
1453391124 21 5 3 0 1
1453393989 22 5 3 0 1
1453417887 22 6 3 0 1
1453418089 22 8 3 0 1
1453461790 22 9 3 0 1
1453462193 22 10 3 0 1
1453473521 22 10 4 0 1
1454000237 22 11 4 0 1
1454000323 22 12 4 0 1
1454003133 22 13 4 0 1
1454078232 22 14 4 0 1
1454169126 22 15 4 0 1
1454363974 22 16 4 0 1
1454525628 22 17 4 0 1
1454592807 22 18 4 0 1
1454593893 23 18 4 0 1
1454596557 23 19 4 0 1
1454596935 23 20 4 0 1
1454597223 23 21 4 0 1
1454597529 23 22 4 0 1
1454612685 23 23 4 0 1
1455195229 23 24 4 0 1
1455294540 23 25 4 0 1
1456404968 23 26 4 0 1
1456411696 23 27 4 0 1
1456495182 23 27 4 1 1
1458306606 23 27 4 2 1
1458310842 23 28 4 2 1
1458832493 24 28 4 2 1
1458833728 25 28 4 2 1
1459333605 26 28 4 2 1
1459462136 27 28 4 2 1
1459507040 28 28 4 2 1
1459513483 28 28 5 2 1
1459516762 29 28 5 2 1
1459516775 30 28 5 2 1
1459517216 30 29 5 2 1
1459946365 31 29 5 2 1
1459946380 32 29 5 2 1
1459954473 33 29 5 2 1
1460044312 34 29 5 2 1
1460122716 34 29 6 2 1
1460122725 34 29 7 2 1
1460122832 35 29 7 2 1
1460122843 36 29 7 2 1
1460580191 37 29 7 2 1
1460839491 38 29 7 2 1
1461271770 39 29 7 2 1
1461531059 40 29 7 2 1
1461617595 41 29 7 2 1
1461792066 42 29 7 2 1
1461879974 43 29 7 2 1
1461972820 44 29 7 2 1
1462451892 45 29 7 2 1
1462539072 46 29 7 2 1
1462655944 47 29 7 2 1
1462835714 48 29 7 2 1
1462922755 49 29 7 2 1
1463096640 50 29 7 2 1
1463270644 51 29 7 2 1
1463360637 52 29 7 2 1
1463449190 53 29 7 2 1
1463536004 54 29 7 2 1
1463624055 55 29 7 2 1
1463744567 56 29 7 2 1
1463750258 56 29 8 2 1
1464048305 57 29 8 2 1
1464048343 58 29 8 2 1
1464049053 59 29 8 2 1
1464105085 60 29 8 2 1
